Brand,Manufacturer,Series,Colour,Item Height,Item Width,Standing screen display size,Resolution,Batteries,Item model number,Processor Brand,Processor Type,RAM Size,Memory Technology,Hard Drive Size,Hard Disk Description,Hard Disk Rotational Speed,Speaker Description,Graphics Coprocessor,Graphics Chipset Brand,Connectivity Type,Number of USB 3.0 Ports,Number of HDMI Ports,Number of Audio-out Ports,Number of Ethernet Ports,Number of Microphone Ports,Optical Drive Type,Power Source,Operating System,Average Battery Standby Life (in hours),Average Battery Life (in hours),Are Batteries Included,Lithium Battery Energy Content,Number Of Lithium Ion Cells,Included Components,Item Weight,Product Dimensions,ASIN,Customer Reviews,Best Sellers Rank,Processor Speed,Processor Count,Computer Memory Type,Hard Drive Interface,Graphics Card Ram Size,Number of USB 2.0 Ports,Hardware Platform,Lithium Battery Weight,Model,Model Name,Memory Storage Capacity,Ram Memory Installed Size,Ram Memory Technology,Mounting Hardware,Software Included,Batteries Included,Batteries Required,Total Usb Ports,Connector Type,Device interface - primary,Graphics Card Description,Flash Memory Installed Size,Processor Model Number,Special Features,Form Factor,Device Type,Maximum Memory Supported,Graphics Card Interface,Wireless Type,Number of Lithium Metal Cells,Memory Clock Speed,Number of VGA Ports,Voltage,Wattage,Battery Description,Package Dimensions
Dell,Dell Computers,Inspiron,Silver,20 Millimeters,31 Centimeters,13.3 Inches,1920x1080,1 Lithium ion batteries required. (included),5390,Intel,Core i5,8 GB,DDR4,512 GB,Flash Memory Solid State,5400 RPM,Waves MaxxAudio,Intel HD,Intel,Wi-Fi,2,1,1,1,1,None,Battery Powered,Windows 10,6 Hours,6 Hours,Yes,42 Watt Hours,3,"Laptop, Battery, AC Adapter, User Guide, Manuals, Stylus",1.24 kg,21 x 31 x 2 cm,B089QQLWKK,"7 ratings
Dell,Dell Computers,Inspiron,Silver,20 Millimeters,32.8 Centimeters,14 Inches,1920x1080,1 Lithium ion batteries required. (included),5491,Intel,Core i3,4 GB,DDR4,512 GB,Flash Memory Solid State,-1,Waves MaxxAudio Pro,INTEL UHD GRAPHICS,Intel,Wi-Fi,2,1,1,-1,1,None,Battery Powered,Window 10,5 Hours,5 Hours,Yes,45 Watt Hours,3,"Laptop, Battery, AC Adapter, User Guide, Manuals",1.86 kg,23.3 x 32.8 x 2 cm,B0842Z9VR7,"3 ratings
2.1 out of 5 stars",21 January 2020,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Integrated,-1,-1,-1,Convertible 2 in 1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Dell,Dell Computers,-1,Silver,15 Millimeters,32.3 Centimeters,13.3 Inches,-1,1 Lithium ion batteries required. (included),Inspiron 5370,Intel,Core i7,8 GB,DDR4,256 GB,Mechanical hard drive,-1,-1,AMD Radeon Graphics 530,AMD,-1,2,-1,-1,-1,-1,-1,-1,Windows 10 Home,-1,-1,Yes,10 Watt Hours,2,"Laptop, Battery, AC Adapter, User Guide and Manuals",1.4 kg,21.9 x 32.3 x 1.5 cm,B07B6K4YM6,"10 ratings
3.6 out of 5 stars",2 March 2018,-1,-1,-1,-1,2 GB,-1,-1,0.85 Grams,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Dell,Dell Computers,Inspiron,Silver,20 Millimeters,32.8 Centimeters,14 Inches,1920x1080,1 Lithium ion batteries required. (included),5491,Intel,Core i5,8 GB,DDR4,512 GB,Flash Memory Solid State,-1,Waves MaxxAudio Pro,INTEL UHD GRAPHICS,Intel,Wi-Fi,2,1,1,-1,1,None,Battery Powered,Window 10,5 Hours,5 Hours,Yes,45 Watt Hours,3,"Laptop, Battery, AC Adapter, User Guide, Manuals",1.86 kg,23.3 x 32.8 x 2 cm,B0842Z6Z7C,"6 ratings
3.6 out of 5 stars",21 January 2020,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Integrated,-1,-1,-1,Convertible 2 in 1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Dell,Dell Computers,-1,Silver,2 Centimeters,36.4 Centimeters,15.6 Inches,Full HD (1920 X 1080) MP,1 Lithium ion batteries required. (included),5593,Intel,Core i5,8 GB,DDR4,1 TB,Hybrid Drive,-1,-1,2 GB NVidia MX 230 Graphic,NVIDIA,-1,-1,-1,-1,-1,-1,-1,Battery Powered,Windows 10 Home Single Language,5 Hours,5 Hours,Yes,4.9 Watt Hours,3,-1,2.05 kg,24.9 x 36.4 x 2 cm,B08BWV7W7R,"3 ratings
3.9 out of 5 stars",26 June 2020,-1,1,-1,Serial ATA,2 GB,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Dell,Dell Computers,Inspiron,Silver,14 Millimeters,30.8 Centimeters,13.3 Inches,1920 x 1080 (Full HD),-1,N7386,Intel,Core i5,8 GB,DDR4,256 GB,Flash Memory Solid State,-1,MaxxAudio,Integrated Graphics,-1,-1,1,1,1,-1,-1,-1,-1,Windows 10,-1,-1,Yes,45 Watt Hours,1,"Laptop, Battery, AC Adapter, User Guide, Manuals",1.4 kg,21.3 x 30.8 x 1.4 cm,B07NVLQDXG,"3 ratings
3.3 out of 5 stars",18 February 2019,1.6 GHz,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Integrated,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Dell,-1,-1,Silver,1.3 Centimeters,30.4 Centimeters,13.3 Inches,-1,1 Lithium Polymer batteries required. (included),dell i7386-5038slv-pus,Core_i5,Core i5,8 GB,-1,256 GB,SSD,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Windows 10,-1,-1,Yes,39 Watt Hours,2,-1,1.45 kg,21.6 x 30.4 x 1.3 cm,B07LDVX6R6,"42 ratings
4.2 out of 5 stars",15 March 2019,-1,4,DDR4 SDRAM,-1,-1,-1,-1,42 Grams,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Convertible 2 in 1,-1,-1,Integrated,802.11ac,10,-1,-1,-1,-1,-1,-1
Dell,Dell Computers,Latitude,Black,21 Millimeters,24 Centimeters,14 Inches,1366 x 768 (HD Ready),1 AA batteries required. (included),3490,Intel,Core i5 8250U,4 GB,DDR4,1 TB,Mechanical Hard Drive,7200 RPM,Stereo speakers that are driven by the Realtek ALC3253 codec with Waves MaxxAudio Pro,AMD Radeon,-1,-1,2,1,2,2,2,-1,-1,Windows 10 Pro,-1,-1,Yes,4 Watt Hours,1,"Laptop, Battery, AC Adapter, User Guide and Manuals",1.72 kg,33 x 24 x 2.1 cm,B079NZGV82,"1 rating
1.0 out of 5 stars",4 September 2018,3.4 GHz,4,DDR4 SDRAM,Serial ATA,2 GB,1,Windows,0.5 Grams,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Integrated,-1,-1,-1,Notebook,-1,-1,-1,802.11ac,-1,2400 MHz,2,15.2 Volts,2 Watts,-1,-1
Dell,Dell Computers,Inspiron 5559,Silver,-1,-1,15.6 Inches,-1,1 AAA batteries required.,Y566513HIN9,Intel,Core i7 6500U,16 GB,-1,2 TB,Mechanical Hard Drive,-1,-1,ATI Radeon,AMD,Intel Centrino Wireless-AC 3160 + Bluetooth 4.0,-1,-1,-1,-1,-1,DVD-RW,-1,Windows 10,-1,4 Unknown modifier,No,2.5 Watt Hours,-1,-1,2.5 kg,-1,B019IENLCW,"33 ratings
2.6 out of 5 stars",1 January 2017,2.5 GHz,-1,-1,-1,4,-1,-1,25 Grams,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"40 WHr, 4-Cell Battery (removable)",49.78 x 23.37 x 7.37 cm
Dell,Dell Computers,-1,Platinum Silver,8 Centimeters,33 Centimeters,13.3 Inches,Full HD (1920 X 1080) Pixels,-1,3090,Intel,Core i5-2400,8 GB,DDR4,512 GB,SSD,-1,-1,Intel® UHD Graphics 620,-1,-1,-1,-1,-1,-1,-1,-1,Battery Powered,Windows 10 Home Single Language,-1,-1,-1,-1,-1,-1,1.2 kg,49 x 33 x 8 cm,B07THCFDVM,-1,29 May 2020,-1,4,Unknown,Solid State,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Lenovo,Lenovo,Yoga C640,Iron Grey,17 Millimeters,20.4 Centimeters,13.3 Inches,1920 x 1080 (Full HD),1 Lithium Polymer batteries required. (included),81UE0034IN,Intel,Core i5,8 GB,DDR4,512 GB,Flash Memory Solid State,-1,Front Facing Dolby Atmos Speakers,INTEGRATED GRAPHICS,-1,-1,2,-1,1,-1,1,-1,-1,Windows 10,-1,-1,Yes,60 Watt Hours,4,"Laptop, Adapter, User Manual",1.35 kg,30.6 x 20.4 x 1.7 cm,B083PFZXC4,"26 ratings
3.8 out of 5 stars",9 January 2020,1.6 GHz,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Integrated,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Dell,Dell Computers,XPS,Gold,12 Millimeters,30.2 Centimeters,13.3 Inches,3840 x 2160 (4K UHD),1 Lithium ion batteries required. (included),9370,Intel,Core i7,16 GB,DDR4,512 GB,Flash Memory Solid State,-1,Waves MaxxAudio Pro,Intel,Intel,Killer 802.11ac 1x1 WiFi,1,-1,1,-1,1,None,Battery Powered,Windows 10,6 Hours,6 Hours,Yes,52 Watt Hours,4,"Laptop, Battery, AC Adapter, User Guide, Manuals, Stylus",1.21 kg,19.9 x 30.2 x 1.2 cm,B08C5GHKZX,-1,1 July 2020,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Integrated,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
